Riding,Name,Image,Link,email
Kenora-Rainy River,Sarah Campbell,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/sarahcampbell.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=84,SarahCampbell@ontariondp.ca
Etobicoke-Lakeshore,P.C. Choo,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/Etobicokeâ€”Lakeshore_300x2861.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=70,P.C.Choo@ontariondp.ca
Sudbury,Joe Cimino,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/joecimino.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=146,JoeCimino@ontariondp.ca
Vaughan,Marco Coletta,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/marcocoletta.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1841,MarcoColetta@ontariondp.ca
Elgin-Middlesex-London,Kathy Cornish,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/cathycornish.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1530,KathyCornish@ontariondp.ca
Ottawa West-Nepean,Alex Cullen,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/alexcullen1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=122,AlexCullen@ontariondp.ca
Nepean-Carleton,Ric Dagenais,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/ricdagenais.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=108,RicDagenais@ontariondp.ca
Richmond Hill,Adam DeVita,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/adamdevita.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=134,AdamDeVita@ontariondp.ca
Brampton-Springdale,Gurpreet Dhillon,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/web-photo-Gurpreet-Dhillon.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=53,GurpreetDhillon@ontariondp.ca
Parkdale-High Park,Cheri  DiNovo,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/CheriDiNovo1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=128,CheriDiNovo@ontariondp.ca
Renfrew-Nipissing-Pembroke,Brian Dougherty,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/briandougherty.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1560,BrianDougherty@ontariondp.ca
Newmarket-Aurora,Angus Duff,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/AngusDuff.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1606,AngusDuff@ontariondp.ca
York Centre,John Fagan,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/john_Fagan.png,http://ourteam.ontariondp.ca/candidate-profile/?cid=1810,JohnFagan@ontariondp.ca
Brant,Alex Felsky,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/brant_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=54,AlexFelsky@ontariondp.ca
York South-Weston,Paul Ferreira,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/paulferreira.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=728,PaulFerreira@ontariondp.ca
Kitchener-Waterloo,Catherine Fife,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/catherinefife.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=90,CatherineFife@ontariondp.ca
Welland,Cindy Forster,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/cindyforster1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=162,CindyForster@ontariondp.ca
Thunder Bay-Superior North,Andrew Foulds,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/andrewfoulds1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=150,AndrewFoulds@ontariondp.ca
Oshawa,Jennifer French,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/jenniferfrench.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1610,JenniferFrench@ontariondp.ca
Ottawa South,Bronwyn Funiciello,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/brownynfunicello.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=120,BronwynFuniciello@ontariondp.ca
Niagara Falls,Wayne Gates,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/waynegates.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=110,WayneGates@ontariondp.ca
Nickel Belt,France GÃ©linas,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/FranceGelinas.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=112,FranceGÃ©linas@ontariondp.ca
Chatham-Kent-Essex,Dan Gelinas,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/dangelinas.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1692,DanGelinas@ontariondp.ca
Nipissing,Henri Giroux,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/henrigiroux.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1304,HenriGiroux@ontariondp.ca
Guelph,James Gordon,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/guelph_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=74,JamesGordon@ontariondp.ca
Windsor West,Lisa Gretzky,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/lisagretzky.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=168,LisaGretzky@ontariondp.ca
Bruce-Grey-Owen Sound,Karen Gventer,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/web-photos_Karen-Gventer_NEW.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=56,KarenGventer@ontariondp.ca
Thornhill,Cindy Hackelberg,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/CindyHackelberg.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1640,CindyHackelberg@ontariondp.ca
Carleton-Mississippi Mills,John Hansen,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/JohnHansen.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=60,JohnHansen@ontariondp.ca
Windsor-Tecumseh,Percy Hatfield,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/percyhatfield.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=170,PercyHatfield@ontariondp.ca
Markham-Unionville,Nadine Hawkins,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/nadinehawkins.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1597,NadineHawkins@ontariondp.ca
Pickering-Scarborough East,Eileen Higdon,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/Eileen_Higdon.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1358,EileenHigdon@ontariondp.ca
Lambton-Kent-Middlesex,Joe Hill,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/joehill.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1589,JoeHill@ontariondp.ca
Kingston and the Islands,Mary Rita Holland,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/web-photos_Mary-Rita-Holland-NEW.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=86,MaryRitaHolland@ontariondp.ca
Hamilton Centre,Andrea Horwath,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/ONDP_Andrea_RBG_wBG.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1295,AndreaHorwath@ontariondp.ca
Kitchener Centre,Margaret Johnston,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/margaret_johnson.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=88,MargaretJohnston@ontariondp.ca
Ancaster-Dundas-Flamborough-Westdale,Alex Johnstone,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/alexjohnstone.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1572,AlexJohnstone@ontariondp.ca
Huron-Bruce,Jan Johnstone,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/janjohnston.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1540,JanJohnstone@ontariondp.ca
Etobicoke-Centre,Chris Jones,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/ChrisJoneswBG.png,http://ourteam.ontariondp.ca/candidate-profile/?cid=1713,ChrisJones@ontariondp.ca
Mississauga East-Cooksville,Fayaz Karim,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/FayazKarim.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=102,FayazKarim@ontariondp.ca
Whitby-Oshawa,Ryan Kelly,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/ryankelly.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=164,RyanKelly@ontariondp.ca
Ajax-Pickering,Jermaine King,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/300x286-Jermaine.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=44,JermaineKing@ontariondp.ca
Thunder Bay-Atikokan,Mary Kozorys,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/marykozorys.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=148,MaryKozorys@ontariondp.ca
Oak Ridges-Markham,Miles Krauter,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/milesKrauter.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1914,MilesKrauter@ontariondp.ca
Leeds-Grenville,David Lundy,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/DavidLundy.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=94,DavidLundy@ontariondp.ca
Scarborough Southwest,Jessie Macaulay,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/jessiemacaulay.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1565,JessieMacaulay@ontariondp.ca
Stormont-Dundas-South Glengarry,Elaine MacDonald,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/elainemacdonald.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=144,ElaineMacDonald@ontariondp.ca
Algoma-Manitoulin,Michael Mantha,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/algoma-manitoulin_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=46,MichaelMantha@ontariondp.ca
Trinity-Spadina,Rosario Marchese,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/rosariomarchese1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=160,RosarioMarchese@ontariondp.ca
Oakville,Che Marville,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/chemarville.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=116,CheMarville@ontariondp.ca
Simcoe-Grey,David Matthews,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/davidmatthews.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=142,DavidMatthews@ontariondp.ca
Ottawa Centre,Jennifer McKenzie,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/jennifer-mackenzie1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=118,JenniferMcKenzie@ontariondp.ca
Northumberland-Quinte West,Kira Mees,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/kiramees1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=114,KiraMees@ontariondp.ca
Simcoe North,Doris Middleton,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/dorismiddleton.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=140,DorisMiddleton@ontariondp.ca
Hamilton East-Stoney Creek,Paul Miller,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/Paul_Miller_300X286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=80,PaulMiller@ontariondp.ca
Parry Sound-Muskoka,Clyde Mobbley,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/clydemobbley.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1616,ClydeMobbley@ontariondp.ca
Burlington,Jan Mowbray,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/Burlington_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=58,JanMowbray@ontariondp.ca
Ottawa-Orl&eacute;ans,Prosper M&#8217;Bemba-Meka,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/propsper_MBemba-Meka.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1636,ProsperM&#8217;Bemba-Meka@ontariondp.ca
Essex,Taras Natyshak,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/essex_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=66,TarasNatyshak@ontariondp.ca
Ottawa-Vanier,HervÃ© Ngamby,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/hervengamby.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=124,HervÃ©Ngamby@ontariondp.ca
Brampton West,Gugni Gill Panaich,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/Gugni-Gill_web.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=741,GugniGillPanaich@ontariondp.ca
Lanark-Frontenac-Lennox and Addington,Dave Parkhill,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/DaveParkhill.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=92,DaveParkhill@ontariondp.ca
Beaches-East York,Michael Prue,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/beacehs_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=48,MichaelPrue@ontariondp.ca
York West,Tom Rakocevic,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/tomrakocevic.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=172,TomRakocevic@ontariondp.ca
Sault Ste. Marie,Celia Ross,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/celiaross1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=136,CeliaRoss@ontariondp.ca
Glengarry-Prescott-Russell,Isabelle Sabourin,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/Glengarryâ€”Prescottâ€”Russell_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=72,IsabelleSabourin@ontariondp.ca
Don Valley-East,Akil Sadikali,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/akilSadakali1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1766,AkilSadikali@ontariondp.ca
London West,Peggy Sattler,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/peggysattler.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=98,PeggySattler@ontariondp.ca
Davenport,Jonah Schein,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/web-photos_JonahSchein.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=64,JonahSchein@ontariondp.ca
Toronto Centre,Kate Sellar,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/katesellar.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=156,KateSellar@ontariondp.ca
Scarborough-Rouge River,Neethan Shan,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/neethanshan.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=138,NeethanShan@ontariondp.ca
Mississauga-Streetsville,Anju Sikka,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/anjusikka.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=106,AnjuSikka@ontariondp.ca
Bramalea-Gore-Malton,Jagmeet Singh,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/bramalea_goremalton_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=50,JagmeetSingh@ontariondp.ca
Oxford,Bryan Smith,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/web-photos_Byran-Smith_NEW_.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=126,BryanSmith@ontariondp.ca
Perth-Wellington,Romayne Smith Fullerton,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/romayne.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=130,RomayneSmithFullerton@ontariondp.ca
Halton,Nik Spohr,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/Nik_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=78,NikSpohr@ontariondp.ca
St. Catharines,Jennifer Stevens,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/jenniestevens.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1480,JenniferStevens@ontariondp.ca
Cambridge,Bobbi Stewart,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/bobbistewart.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1686,BobbiStewart@ontariondp.ca
Prince Edward-Hastings,Merrill Stewart,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/merrillstewart.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1779,MerrillStewart@ontariondp.ca
Scarborough-Guildwood,Shuja Syed,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/shujasyed.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1804,ShujaSyed@ontariondp.ca
Toronto-Danforth,Peter Tabuns,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/petertabuns.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=158,PeterTabuns@ontariondp.ca
Hamilton Mountain,Monique Taylor,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/Monique_Taylor_300x286.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=82,MoniqueTaylor@ontariondp.ca
Mississauga-Brampton South,Kevin Troake,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/kevinTroake.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1600,KevinTroake@ontariondp.ca
Timiskaming-Cochrane,John Vanthof,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/johnvanthof1.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=152,JohnVanthof@ontariondp.ca
Kitchener-Conestoga,James Villeneuve,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/JamesVilleneuve.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1848,JamesVilleneuve@ontariondp.ca
Sarnia-Lambton,Brian White,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/brainwhite.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1349,BrianWhite@ontariondp.ca
Scarborough-Agincourt,Alex Wilson,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/alexWilson.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1871,AlexWilson@ontariondp.ca
Peterborough,Sheila Wood,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/sheilawoods.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=132,SheilaWood@ontariondp.ca
Dufferin-Caledon,Rehya Rebecca Yazbek,http://ourteam.ontariondp.ca/wp-content/uploads/2014/05/reyhaYazbek.jpg,http://ourteam.ontariondp.ca/candidate-profile/?cid=1505,RehyaRebeccaYazbek@ontariondp.ca
