Riding,Name,Image,Link,email
Simcoe North,Fred Larsen,http://pantone201.ca/webskins/vote/candidate_photos/9086_thumbnail.jpg,http://votelarsen.ca,info@votelarsen.ca
Stormont-Dundas-South Glengarry,John Earle,http://pantone201.ca/webskins/vote/candidate_photos/9087_thumbnail.jpg,http://johnearle.ca,info@johnearle.ca
Sudbury,Andrew Olivier,http://pantone201.ca/webskins/vote/candidate_photos/9088_thumbnail.jpg,http://voteolivier.ca,info@voteolivier.ca
Thornhill,Sandra  Yeung Racco,http://pantone201.ca/webskins/vote/candidate_photos/9089_thumbnail.jpg,http://voteyeungracco.ca,info@voteyeungracco.ca
Thunder Bay-Atikokan,Bill Mauro,http://pantone201.ca/webskins/vote/candidate_photos/9090_thumbnail.jpg,http://supportbillmauro.ca,info@supportbillmauro.ca
Thunder Bay-Superior North,Michael Gravelle,http://pantone201.ca/webskins/vote/candidate_photos/9091_thumbnail.jpg,http://votegravelle.ca,info@votegravelle.ca
Timiskaming-Cochrane,Sebastien Goyer,http://pantone201.ca/webskins/vote/candidate_photos/9092_thumbnail.jpg,http://sebastiengoyer.ca,info@sebastiengoyer.ca
Timmins-James Bay,Sylvie Fontaine,http://pantone201.ca/webskins/vote/candidate_photos/9093_thumbnail.jpg,http://sylviefontaine.ca,info@sylviefontaine.ca
Toronto-Centre,Glen Murray,http://pantone201.ca/webskins/vote/candidate_photos/9094_thumbnail.jpg,http://voteglenmurray.ca,info@voteglenmurray.ca
Toronto-Danforth,Rob Newman,http://pantone201.ca/webskins/vote/candidate_photos/9095_thumbnail.jpg,http://voterobnewman.ca,info@voterobnewman.ca
Trinity-Spadina,Han Dong,http://pantone201.ca/webskins/vote/candidate_photos/9096_thumbnail.jpg,http://votehandong.ca,info@votehandong.ca
Vaughan,Steven Del Duca,http://pantone201.ca/webskins/vote/candidate_photos/9097_thumbnail.jpg,http://votedelduca.ca,info@votedelduca.ca
Welland,Benoit Mercier,http://pantone201.ca/webskins/vote/candidate_photos/9098_thumbnail.jpg,http://votemercier.ca,info@votemercier.ca
Wellington-Halton Hills,Dan Zister,http://pantone201.ca/webskins/vote/candidate_photos/9099_thumbnail.jpg,http://votezister.ca,info@votezister.ca
Whitby-Oshawa,Ajay Krishnan,http://pantone201.ca/webskins/vote/candidate_photos/9100_thumbnail.jpg,http://ajaykrishnan.ca,info@ajaykrishnan.ca
Willowdale,David Zimmer,http://pantone201.ca/webskins/vote/candidate_photos/9101_thumbnail.jpg,http://votezimmer.ca,info@votezimmer.ca
Windsor-Tecumseh,Jason Dupuis,http://pantone201.ca/webskins/vote/candidate_photos/9102_thumbnail.jpg,http://votedupuis.ca,info@votedupuis.ca
Windsor West,Teresa Piruzza,http://pantone201.ca/webskins/vote/candidate_photos/9103_thumbnail.jpg,http://votepiruzza.ca,info@votepiruzza.ca
York-Centre,Monte Kwinter,http://pantone201.ca/webskins/vote/candidate_photos/9104_thumbnail.jpg,http://votekwinter.ca,info@votekwinter.ca
York-Simcoe,Loralea Carruthers,http://pantone201.ca/webskins/vote/candidate_photos/9105_thumbnail.jpg,http://loralea.ca,info@loralea.ca
York South-Weston,Laura Albanese,http://pantone201.ca/webskins/vote/candidate_photos/9106_thumbnail.jpg,http://votealbanese.ca,info@votealbanese.ca
York West,Mario Sergio,http://pantone201.ca/webskins/vote/candidate_photos/9107_thumbnail.jpg,http://votemariosergio.ca,info@votemariosergio.ca
